Packets/s;CanBidReqs/s;Median Latency;95pc Latency;99pc Latency
86393 ;691149;191us;9063us ;17775us
106414;851313;143us;8103us ;11735us
94652 ;757219;119us;10095us;16399us
107040;856327;127us;8095us ;13943us
98121 ;784975;135us;9527us ;17343us
104028;832226;167us;7895us ;14975us
98225 ;785807;143us;10047us;16263us
109379;875033;159us;7575us ;12199us
100009;800072;135us;8999us ;15215us
107978;863827;167us;8335us ;10855us
98797 ;790379;143us;9111us ;16151us
105783;846277;151us;8687us ;12975us
103683;829468;151us;8727us ;13055us
104379;835033;135us;8575us ;13311us
107343;858745;143us;8775us ;12623us
101206;809643;143us;8367us ;13383us
109465;875721;167us;8231us ;11975us
101741;813930;143us;8743us ;14663us
104281;834255;159us;8759us ;15415us
102527;820222;159us;8775us ;15319us
104486;835895;183us;8711us ;12623us
99512 ;796096;143us;9655us ;15495us
110810;886483;143us;7607us ;11031us
109928;879430;151us;7775us ;10087us
100767;806137;151us;8695us ;16655us
102953;823624;135us;8719us ;13271us
110488;883907;151us;7551us ;11247us
107791;862329;135us;8295us ;12655us
99633 ;797065;143us;8999us ;15431us
